subj_idx,rt,response,condition,original_choice,is_correct
1,2.7499999999999876,0,L1_00,1,False
1,0.6000000000000002,0,L0_50,1,False
1,10.0,1,L0_50,0,True
1,0.5500000000000003,0,L0_75,1,False
1,3.3499999999999748,0,L0_50,1,False
1,2.959999999999983,1,L0_25,1,True
1,1.480000000000001,0,L0_75,1,False
1,1.2400000000000009,0,L0_50,1,False
1,10.0,1,L0_75,0,True
1,10.0,1,L0_50,0,True
1,1.1700000000000008,0,L0_50,1,False
1,0.15000000000000002,0,L1_00,1,False
1,0.3800000000000001,0,L1_00,1,False
1,0.6900000000000003,0,L0_75,1,False
1,0.26,0,L0_50,1,False
1,10.0,1,L0_50,0,True
1,10.0,1,L0_75,0,True
1,10.0,1,L0_75,0,True
1,10.0,0,L0_00,0,False
1,10.0,1,L0_50,0,True
1,1.410000000000001,0,L0_50,1,False
1,10.0,1,L1_00,0,True
1,0.5800000000000003,0,L0_50,1,False
1,0.33000000000000007,0,L1_00,1,False
1,0.9000000000000005,1,L0_00,1,True
1,10.0,1,L0_75,0,True
1,10.0,1,L1_00,0,True
1,0.9700000000000005,1,L0_00,1,True
1,10.0,1,L0_75,0,True
1,7.159999999999894,1,L0_00,1,True
1,10.0,1,L0_50,0,True
1,0.4700000000000002,0,L0_75,1,False
1,0.4500000000000002,0,L1_00,1,False
1,1.2200000000000009,1,L0_00,1,True
1,2.5999999999999908,1,L0_00,1,True
1,10.0,1,L0_75,0,True
1,4.239999999999956,0,L0_50,1,False
