,a,a_std,a_subj.0,a_subj.1,a_subj.2,a_subj.3,a_subj.4,v(L0_00),v(L0_25),v(L0_50),v(L0_75),v(L1_00),v_std,v_subj(L0_00).0,v_subj(L0_00).1,v_subj(L0_00).2,v_subj(L0_00).3,v_subj(L0_00).4,v_subj(L0_25).0,v_subj(L0_25).1,v_subj(L0_25).2,v_subj(L0_25).3,v_subj(L0_25).4,v_subj(L0_50).0,v_subj(L0_50).1,v_subj(L0_50).2,v_subj(L0_50).3,v_subj(L0_50).4,v_subj(L0_75).0,v_subj(L0_75).1,v_subj(L0_75).2,v_subj(L0_75).3,v_subj(L0_75).4,v_subj(L1_00).0,v_subj(L1_00).1,v_subj(L1_00).2,v_subj(L1_00).3,v_subj(L1_00).4,t,t_std,t_subj.0,t_subj.1,t_subj.2,t_subj.3,t_subj.4,sv
629,2.830666273997602,0.039969201147967634,2.871468478237324,2.779126026987902,2.773755429406232,2.8156045168719124,2.8188224713606664,0.8192567153823365,0.6663275858759559,-0.8834178695118092,-1.9305129899666071,-4.43581463439842,0.03504011293585155,0.8273787744705101,0.8022062941359277,0.7957248984765067,0.8151896638205332,0.8870060264317134,0.7052243124122655,0.6977066497270559,0.6848439783335604,0.7187337178505993,0.6532726731974143,-0.783724107627434,-0.8798487422790016,-0.9094305747922616,-0.9096990639150344,-0.8709834444319124,-1.8873463284028382,-1.8765768665949305,-1.929290506993901,-1.8723277306055806,-1.9633454456300852,-4.4480259678707625,-4.488938355042021,-4.356030153807768,-4.467221069558203,-4.4259393911896625,0.27340434988045464,1.5559349620884828,4.9474385491332155e-11,1.5015867272557655e-11,3.054748561864724e-06,4.511452196334148e-13,3.860537576727072e-15,0.04951175528250256
630,2.789483280088812,0.08251461641968805,2.848897927509654,2.762227563777621,2.7653129696221344,2.797293206189885,2.8537026322912205,0.8144179117440251,0.70452457031183,-0.8813559773481021,-1.891941836051221,-4.454141142994307,0.04278112003310014,0.7681350269945862,0.8285063242211335,0.8285307860332316,0.7922192519016188,0.7278149038359847,0.6605547330581714,0.7380867345517109,0.6789382244748494,0.7448508918445997,0.7389040596132179,-0.8471662547345784,-0.8891225660873489,-0.916703064609893,-0.8217513919335213,-0.8833525619708275,-1.862413710040653,-1.855303306267567,-1.9271637556204861,-1.9609936094710438,-1.9165699881236047,-4.442408119313197,-4.452677644866311,-4.429215503637118,-4.465512828202328,-4.5077240877696685,0.13377439780478717,0.9425141386385296,4.0571581419128846e-10,1.4699320615978952e-11,9.594070943173746e-06,4.560076828179083e-13,2.315967609426992e-15,0.11711150079153151
631,2.817230962287761,0.061496799811765764,2.881647032329721,2.706857564687246,2.8070337663216027,2.779056164366683,2.8480003019555125,0.8116553724618494,0.7455467072652665,-0.8678138084531429,-1.901904870558585,-4.455231179214539,0.033589756229394564,0.7832372237354925,0.8459806751715911,0.7371851584880368,0.8343149324915963,0.7842816762172748,0.6627481300241652,0.7511128973555026,0.8046797560962211,0.7686617950595859,0.724664180020193,-0.8776527279707418,-0.9118469313526181,-0.8570280654877522,-0.8501216666091684,-0.8846285539555301,-1.849988487118621,-1.8925424011869199,-1.8726326573348826,-1.9485156945746978,-1.8990288696464743,-4.410664351735206,-4.442148390104433,-4.486947247092336,-4.435429626215983,-4.5055053573602,0.14129615828159792,0.9014971413765589,4.696268391175184e-10,2.1801937534591106e-11,4.74017753258361e-05,2.6902510673347866e-12,1.4422336607747e-15,0.0003547692442647031
632,2.854765654087166,0.14975998044471106,2.8546965132153863,2.769327174962778,2.837424920433316,2.8403404728637707,2.8537259385287013,0.8197670077457752,0.732373995677564,-0.8596941038669685,-1.911131685459236,-4.4695551582596345,0.028448509479503517,0.7859458943023616,0.8329560783245047,0.8374794956257284,0.7980636914669722,0.821147554263788,0.7810167773448218,0.7248624703618372,0.7135272609477112,0.7327096763554155,0.7289978908055834,-0.8623353097608433,-0.8653561554826379,-0.8604875954224203,-0.8452087897479662,-0.8834893735472118,-1.9214215256036196,-1.8898080809191575,-1.859366799208514,-1.9213539817487821,-1.904401789075836,-4.428456845281919,-4.435905278360012,-4.451831938161615,-4.504936009425466,-4.4878523545954305,0.12600179668986944,0.7919385373981276,5.88336417134525e-11,2.0856167940855117e-11,2.5343250831040174e-06,3.0834452546975872e-12,1.432866566422214e-15,0.0490812348524331
633,2.8729804288869434,0.177859631511608,2.8652254113252296,2.762672047018171,2.888160197541644,2.810738887458245,2.8758145774572457,0.8341043518283844,0.7503941586954561,-0.8375825838294947,-1.892207958171861,-4.451526629853246,0.030074941017205786,0.8261828992897402,0.7998346485266759,0.8356149183562601,0.8442894632262238,0.8452159559750982,0.7205912901034576,0.7534921644056016,0.7122025421422962,0.7267287747726691,0.7756336496128927,-0.8541925672925483,-0.8469950369400301,-0.8275568733381686,-0.8260414641030001,-0.8550936641415118,-1.8640112100734274,-1.9269458798061576,-1.9598807543428034,-1.9091093776396866,-1.9210987322684583,-4.430724033295822,-4.463048026186453,-4.473023913273302,-4.447140246063663,-4.4476668807585265,0.1336308705724216,0.7169773667262085,6.2577759378785245e-12,2.716854737161143e-11,5.824935999381379e-06,3.483167708542263e-12,5.3947933363169765e-16,0.0492265965456533
634,2.8775113182410026,0.0838808182758232,2.8415567694947397,2.8062767288168424,2.8157684379100965,2.785172860855601,2.8050560331465855,0.8262557623188305,0.7570331162485924,-0.834068472907453,-1.8702672519876906,-4.430515239760462,0.030992772906025107,0.8252226517271467,0.8185360382558226,0.8200043637625212,0.8136934307874445,0.8446501229013741,0.795324099496425,0.7462181168315991,0.7955076635274949,0.7262435885824944,0.7230273665091638,-0.8298914869441705,-0.8707149391025455,-0.847223760983709,-0.8435061767345664,-0.8461487455000742,-1.8406556595165693,-1.8504473783541986,-1.8387380368163655,-1.9501794167657251,-1.8839914798317445,-4.445455480704435,-4.4120853805995495,-4.473327881489925,-4.474522041468549,-4.38891352689474,0.17421818763574254,0.7269920764782202,1.866426812955375e-12,8.659689024004788e-12,3.004165129310386e-06,1.858413438770519e-12,2.45274148864159e-16,0.20019581780895157
635,2.8373434151800274,0.20184532067193306,2.854538684402844,2.688359494845498,2.8900638451881178,2.770421440371169,2.810614035662383,0.8457734665966778,0.7697200596055584,-0.8394573020484174,-1.8628584697033317,-4.418927117769203,0.04212877187293689,0.8819221192843876,0.7964997687027692,0.829965671406316,0.8115234629034407,0.8493296055260279,0.8118148510551912,0.7226454530036034,0.8205123179694542,0.7922990690868063,0.789532278421168,-0.8663073577913288,-0.790039026157259,-0.8615982945330128,-0.8950361868062013,-0.8335696976136276,-1.7958285809439258,-1.8984147863050749,-1.882204779160935,-1.8739376039345457,-1.8433252427338314,-4.383891974104828,-4.4018256158258975,-4.359225147891881,-4.378121149629142,-4.379435831552201,0.20068880983187662,0.9549973911565631,2.345532543369086e-12,1.0270017416482382e-11,2.827061832319611e-06,4.746646009177859e-13,4.871699077423235e-17,0.1811926396353201
636,2.84885506779903,0.17292379514708317,2.8689772950582,2.78448015449,2.895186335424961,2.7720396575946658,2.9290840687398605,0.8140633392515467,0.798570558557598,-0.8750576335370674,-1.8306100552964022,-4.399694098828387,0.03679787103388288,0.7764563618947927,0.7761717135780885,0.8625624754678141,0.8168029634784726,0.799298680989714,0.730796254419501,0.7633992264233855,0.7114656687531985,0.7567941230940851,0.7576449404598582,-0.894244379041391,-0.845521094926208,-0.8191194055506195,-0.9021885379191843,-0.9005613001007793,-1.8030257023228422,-1.8491284616112371,-1.8439564766955232,-1.8371179522298964,-1.8329345548435976,-4.364385138163788,-4.4600534157241105,-4.386247454381761,-4.359741007432482,-4.3676695229427205,0.1990824631690137,0.9162394089313711,1.531267914744515e-12,1.1153370699092982e-11,2.233641926589125e-06,1.8762350247462971e-13,2.1753048449526778e-17,0.1378086868163278
637,2.822081358902718,0.08223030190933545,2.8764378593505366,2.714935281843852,2.884394879873877,2.7545492116281936,2.827584344082171,0.8163339334479804,0.7616648969746092,-0.8702918600625412,-1.867515259302769,-4.396066766034571,0.03639425527537757,0.820870030887076,0.7742557582106837,0.7499374273060145,0.8179170474566324,0.8153814042099358,0.7490808259598294,0.7646647787984684,0.7092050031711412,0.8370129863601726,0.7162659167145708,-0.8295297316119223,-0.8555802570791112,-0.8599707547488926,-0.9468530681454912,-0.9296327046214361,-1.807277512853114,-1.8568990570763633,-1.8389917801348215,-1.838234231380354,-1.915394554448933,-4.435426293840299,-4.369105824749055,-4.420365598336942,-4.359104026541007,-4.464618449364821,0.24904113866897412,1.1174634808712667,6.986638437515297e-13,1.4590051252947345e-11,3.936212659098821e-06,4.209659329287633e-14,1.7158052537342094e-16,0.1707781441900505
638,2.824541545810852,0.058429235600419134,2.827637466104847,2.742929065154653,2.8625868897606392,2.8036771575447728,2.76380613988139,0.784187865118005,0.7490852089701886,-0.8972477701625944,-1.8307198197213934,-4.416130498265419,0.03804117138989792,0.7623160507115387,0.7697258985322925,0.7482124796275851,0.8177976014744267,0.7846389441179376,0.7537474635950356,0.7403928025867704,0.7513502539411444,0.8164222002507595,0.6790451614600447,-0.9287433519690608,-0.9143329060863106,-0.8595209009848885,-0.9418077348424727,-0.9286396730880533,-1.8055520898392625,-1.8845560244304087,-1.8505997676811732,-1.85339448038382,-1.9304868852990695,-4.359225748270117,-4.352261957437473,-4.405628460249,-4.378310193016155,-4.445567996497861,0.19462220116466863,1.3495189556809775,1.3752007826267705e-13,1.4449834637967093e-11,1.7461956386315083e-06,1.1988800211829713e-13,6.836476877113821e-17,0.08087902940557704
