,a,a_std,a_subj.0,a_subj.1,a_subj.2,a_subj.3,a_subj.4,a_subj.5,a_subj.6,a_subj.7,a_subj.8,a_subj.9,v(L0_00),v(L0_25),v(L0_50),v(L0_75),v_std,v_subj(L0_00).0,v_subj(L0_00).1,v_subj(L0_00).2,v_subj(L0_00).3,v_subj(L0_00).4,v_subj(L0_00).5,v_subj(L0_00).6,v_subj(L0_00).7,v_subj(L0_00).8,v_subj(L0_00).9,v_subj(L0_25).0,v_subj(L0_25).1,v_subj(L0_25).2,v_subj(L0_25).3,v_subj(L0_25).4,v_subj(L0_25).5,v_subj(L0_25).6,v_subj(L0_25).7,v_subj(L0_25).8,v_subj(L0_25).9,v_subj(L0_50).0,v_subj(L0_50).1,v_subj(L0_50).2,v_subj(L0_50).3,v_subj(L0_50).4,v_subj(L0_50).5,v_subj(L0_50).6,v_subj(L0_50).7,v_subj(L0_50).8,v_subj(L0_50).9,v_subj(L0_75).0,v_subj(L0_75).2,v_subj(L0_75).4,t,t_std,t_subj.0,t_subj.1,t_subj.2,t_subj.3,t_subj.4,t_subj.5,t_subj.6,t_subj.7,t_subj.8,t_subj.9,sv
780,4.196640901335343,0.10672702081210775,4.160314253800819,4.193578324171997,4.173301869479439,4.38330836085794,4.211527117542283,4.229974114306129,4.142408536238664,4.293393607505104,4.275889292903938,4.256631383419975,2.303989290558358,1.348419771423012,1.2047082444383344,1.8482471589046054,0.06319348637498923,2.357685741665554,2.225232231964695,2.3237035681164913,2.4087236828503094,2.1837246598053395,2.3506236615694216,2.337079195072467,2.313062628191427,2.24309376518441,2.206027713323903,1.4282005028346112,1.3608164193973822,1.3392538693166178,1.3097572897066598,1.4731056477196096,1.3945668987256652,1.2693487135460928,1.3140628227883961,1.311201431319604,1.2773002864032863,1.2253474471123667,1.3403827585410035,1.1113589361576641,1.1814368690426584,1.2185805749803973,1.185065333973592,1.142638036916047,1.1102615869985106,1.1744705755539542,1.2706659621063723,1.8642886137773003,1.8610968147953326,1.8261605265496599,0.19798406720670464,1.2155016211803837,1.1884848318323921e-17,0.008040852151980974,6.137630088934866e-23,8.311028956556943e-13,2.5956253689317215e-13,4.134714137501456e-11,7.11051156670855e-19,0.037324731652750326,3.6749304487430375e-08,1.338540075885295e-12,0.11088475957951774
781,4.268170602519283,0.1002229569967244,4.176059774269734,4.228954551179637,4.164408845982583,4.153298869626787,4.155145219677593,4.19599312371166,4.42156819902197,4.310215506749389,4.2993856810848055,4.256222277226099,2.276727848596213,1.3938263569980935,1.208931071576094,1.7726208083820125,0.09282215490996959,2.2166409611471853,2.2241474604456153,2.4021209581688727,2.3243361817151023,2.2790689820578804,2.47406340599498,2.3865679872044594,2.234618926499455,2.0806839985951786,2.217284620697451,1.437466444708169,1.3499316597657354,1.326559947753398,1.3626825835403156,1.4960892235952232,1.4503776431539612,1.3689961437130835,1.4511394631587076,1.3948756695118945,1.3622960635427048,1.2516227752533493,1.3670201868104614,1.2934453041034895,1.2081169294541156,1.280678722293227,1.2094369082389536,1.1776969221538518,1.204084891984679,1.1775088055937841,1.105279508417054,1.7204923265908785,1.9672782995235136,1.7119410635991275,0.24365332147065816,1.0405900967750874,4.989144345207271e-17,0.006009201742014176,5.49653604998908e-24,1.0162579305546733e-12,1.5787703505668654e-12,1.544550315263658e-11,4.068478016014776e-19,0.00902002900914172,3.3959924638681507e-08,1.2585037937114725e-11,0.07904246960520064
782,4.305532934458359,0.09157524438408679,4.2184513794245655,4.242491750897516,4.259787654749797,4.361867684984628,4.402121161182833,4.294489160168618,4.1960594903404065,4.258828864288157,4.20437470916902,4.344616009500617,2.338625120769052,1.3858966821145926,1.2400823954667801,1.9102635163378183,0.09471319225257994,2.1904971662773067,2.3399349316550824,2.3415464181905223,2.254133350475409,2.3015764740335123,2.3712110236224464,2.4455031193772534,2.441895746873416,2.129605922314943,2.2810182978188114,1.459716908654714,1.369335968458834,1.3354011747677605,1.279100996396525,1.5840735648608093,1.4919980878494838,1.2634286311741703,1.387837986632835,1.3441173763981398,1.4047441660274416,1.1898418419179975,1.2958309388329885,1.2467963034838827,1.2016901914387081,1.2414139211831916,1.1216262384006273,1.2937174717268212,1.1727948719247145,1.300659231562383,1.1157662349140796,1.8200575368332377,1.8444128973104585,1.7132958982084237,0.25512395517472247,1.4670218078754762,4.564800364819721e-16,0.0011965007656329833,8.582298416099274e-24,3.7062855140375183e-13,8.213213524386968e-13,6.728881150406825e-12,4.379799272873088e-18,0.02212011616019342,6.0703680193223425e-09,1.1800336661345095e-11,0.04420316437386722
783,4.2552344073736394,0.06768048978212104,4.35602295723664,4.175080981995888,4.096854665626075,4.365369248551702,4.404274719210379,4.251003549873399,4.288636623434479,4.226642508608255,4.121391594803451,4.308438370407806,2.3164875540504912,1.3672952392032234,1.2049383247084648,1.9075856304026928,0.08909416682187969,2.339279019070935,2.5116487235519456,2.2732351268931925,2.4176657384238114,2.3505960594570094,2.3898156234118457,2.334397177192956,2.3230667547084125,2.2354590617203565,2.2454108872691467,1.4020356053570007,1.2039307209011954,1.2909035933433823,1.3163239130774462,1.5088804008164518,1.4206483938855974,1.3189782642364283,1.224652809347763,1.2798380081879002,1.3732474282085037,1.2686256834206016,1.2427492907748805,1.1547675295824156,1.2266456573329747,1.342344755381815,1.3404360874480834,1.3419591456361752,1.271684881162752,1.08488902053269,1.353794994509235,1.8604262076283904,1.9984551852892463,1.7387784868478149,0.32176123877382035,1.6147771592195113,8.839459715833121e-16,0.0007059743815344697,3.5733455263862297e-23,4.0712353095372283e-14,3.034913973505759e-12,7.62337029444848e-12,3.0635218107538873e-18,0.006242928063647115,1.5806670233744702e-06,1.8525914948020694e-11,0.021205702918089687
784,4.191305522292779,0.11945961710396799,4.160772722327114,4.178376471723988,4.076786699192903,4.3627296344066915,4.154728167786682,4.095083345419492,4.302202479284201,4.34749982407962,4.217763758425052,4.345181985589593,2.3435911082503864,1.3494052698749568,1.2603146675222099,1.9614723533579117,0.08619308431280741,2.263892033296202,2.4690965622492174,2.4672631523669533,2.2575437587540597,2.346493997622951,2.387446610277794,2.344488771610613,2.3689145799576723,2.206416870986812,2.232113276328422,1.37004159324187,1.3881295811613108,1.4055963787923471,1.403063179799071,1.5059765125265636,1.3634084242151594,1.4108169619929034,1.3436996535228762,1.2765347409878045,1.3346755436041078,1.2351446085355196,1.4033224285682837,1.1405021629606769,1.2138177763228182,1.30016600669066,1.1906055064793635,1.1726940053434363,1.150422577508326,1.1933485436529119,1.1007525612227747,2.0603352814533062,2.0122788244144716,2.0569802272615023,0.2781995317438061,1.2314846023058756,2.322792250077438e-15,0.0003848783913182113,6.3943338769779565e-24,6.838925347864434e-13,3.4170279658993355e-12,2.0958665847794686e-11,8.322555481677428e-18,0.009093060442350604,6.471197906119992e-07,6.273639394443345e-12,0.12383842069142556
785,4.242209223978732,0.13104851343010715,4.05411138790107,4.179170459125563,4.022783366819856,4.528092562388686,4.32173517875071,4.148718389667492,4.313105347734203,4.278671301821723,4.3436168892903515,4.294570660948932,2.281535337247546,1.3826914531731636,1.198076504701103,2.053151878849764,0.1002047292626656,2.3438428473801847,2.281395430288854,2.1440552761367604,2.294330002564947,2.295444263328625,2.3085627433278373,2.404630108115427,2.3719965794180156,2.168539697007749,2.2949526967066167,1.4672791277310482,1.2684361280741268,1.4282574454044281,1.5521168460565986,1.478334114375564,1.4002272665924067,1.3067971180992313,1.3919179685155219,1.4887348356640504,1.50351173770224,1.2457298402672945,1.1762807940491982,1.1293021483355807,1.1653502831282856,1.132464266879937,1.166410817667598,1.2068348584830255,1.2320695821212875,1.18684219019589,1.2535995137620852,1.8444693894087594,2.0171453904093024,2.000225594394271,0.2347477424781914,1.187682244178289,1.4792081059899106e-15,0.0003378735896157588,1.7222568715314134e-25,5.697616994366116e-13,4.504580101788765e-12,9.228004773839822e-09,8.253595492525961e-18,0.00616032766203174,6.21520266095762e-07,2.0141920938733926e-13,0.04964738804004926
786,4.321830845316451,0.20378303126148933,4.216492596664763,4.1485906567861175,4.221296221855935,4.496670750898591,4.114279490512239,4.128418164430365,4.23698043374746,4.2487277673743975,4.440982191206177,4.674520574342935,2.29693953043619,1.4158171799472756,1.2330912126106712,1.9784004001427788,0.0789629162297968,2.368883059682101,2.2184155134254504,2.2703680367486907,2.266296841821738,2.2070305909036536,2.409172018581767,2.395106984460223,2.347807470106676,2.3123557898009635,2.330016571262836,1.4649283796155834,1.2706453902645622,1.3334599042955282,1.519172311049523,1.386227144418161,1.503728783886262,1.3304584105070878,1.4820970344956585,1.4491054753947468,1.421214680189199,1.256366945010259,1.1499418282162694,1.1266797638785697,1.2761963956505238,1.1841932248885825,1.2626620674122477,1.3201987433860811,1.2735954544483736,1.1358697572152623,1.1753347038201727,2.12199876498053,2.078326503041281,2.251468529806021,0.2627766691863327,1.3911941410888926,3.5223898290351267e-16,0.004635252730630935,1.2440529420011476e-25,4.736620971224594e-13,5.664142456259374e-13,1.3664107894646847e-08,1.1969572951066577e-17,0.05881805730552146,1.1679521868218451e-07,1.3866404318265461e-11,0.01970730593912079
787,4.2454642256924195,0.21698394781504696,4.18389268236039,4.331900643798026,4.072788193342924,4.360816395226898,4.00626137068569,4.144577727142562,4.196799956356682,4.2056168008262755,4.411189549586078,4.586073088083882,2.314515830416229,1.4668398689748174,1.1993989392122753,1.9941829333353276,0.07432730728905675,2.193884831118975,2.4468820101177755,2.278571370848973,2.247578011081189,2.1935500201542326,2.3923442391783407,2.41074971269229,2.343214837754683,2.2103152304603233,2.2100106621189406,1.537979171509662,1.4654199580370284,1.4055208570653568,1.417633435199403,1.5503072999886558,1.3143134005385202,1.3421892212698574,1.478920141334496,1.4180758254768124,1.3842777088664384,1.313677792628264,1.165859506648245,1.1602092490392875,1.1720506808520699,1.1928785601027676,1.1663096773323214,1.1889229256728686,1.2768876792617716,1.2220622570180215,0.996424162727607,1.8813080383555971,2.069536630751305,1.7655953592429818,0.26380698457992036,1.329512135826191,2.722765973535871e-16,0.002052088445031214,3.1066417126773997e-26,1.0809494388098375e-12,1.8367689993034286e-13,4.2036033397532353e-07,7.654249643811789e-17,0.06072674277808679,1.2265970134546902e-07,1.2341180412371141e-11,0.11158475314740968
788,4.181860914375769,0.26750032554912767,4.30017384676748,4.492113546459455,3.7511870212740694,4.086827712469026,4.341017014635871,4.088072063843789,4.223606932160365,4.365201138638415,4.394433818409995,4.663249987677015,2.3112910773618776,1.396845585469646,1.1815232760467904,1.9545497929743971,0.09866740354314713,2.180781939861434,2.247949536930295,2.2069476640813503,2.221026124201268,2.234595782504312,2.4482742040537424,2.3651843901449605,2.2703111075273528,2.1072475483566153,2.424548532111483,1.5343671257326117,1.3394473388587096,1.2027372386372703,1.380723266629811,1.4781397416784203,1.3533018759609499,1.3343107339946325,1.3128632466483978,1.3803876907905406,1.5252817652880117,1.3471470643600647,1.1956400356747865,1.1925015755747925,1.1737795515224683,1.298844573232882,1.0063678764581834,1.1405531001791354,1.1939443747338285,1.032372358590523,1.3150378882200866,1.983141644153395,1.980600959262839,1.9223261553043547,0.23145229207751405,1.3398829241507832,1.7371431348608153e-16,0.001856034202480471,2.2452730702494695e-26,7.343862736083427e-13,5.102587726568871e-13,3.7918092431758585e-07,1.2772252081609512e-16,0.021333686927908053,1.5705771588602397e-07,1.5745008300540376e-11,0.0067533074512586486
789,4.133626566185805,0.3366380762050035,4.177176788842515,4.605044577692071,4.1333353273814115,4.075801667275324,3.912791521208148,4.110805745529116,4.309459580382701,4.222320611753375,4.411955688327018,4.487947215394503,2.243559056765801,1.364739634358985,1.2244305928778312,1.9553802273507643,0.10040093851169463,2.1625321956680468,2.419711402998541,2.280600996834345,2.202222598074151,2.357223684476003,2.4473983483543043,2.2104996305785383,2.2919316514400925,2.062017743069003,2.269827628264976,1.4082063603921087,1.350186522990997,1.383116923067905,1.3365824834530367,1.469908151721309,1.2859723098201186,1.2875384049668483,1.3476814128471397,1.3733770423818785,1.4412187112714183,1.0917184730578104,1.4527666663245002,1.1639263207269337,1.1215902961669868,1.2604135987453797,0.9898480676551881,1.2630575527866772,1.2715623303185404,1.063431827335013,0.9566216701440361,1.897039402333898,2.010628121844228,2.004414909695559,0.23950266632303235,1.2991150059071532,6.637621205193322e-16,0.00046823247635685225,2.277712728181697e-26,8.415084436939244e-13,4.262685689461805e-13,4.4608487559141295e-07,1.0239572018975367e-16,0.019183702737817273,5.256060093344957e-08,9.794481050202677e-11,0.03911310295756689
790,4.155405699029556,0.3463941643323358,4.2889458279147235,4.414097461816956,4.224834464762626,4.02869381839002,4.118455168982749,4.179360057107764,4.564356478279915,4.153716908069255,4.374969173445461,4.558091579856669,2.2911195308867107,1.3585788453781864,1.1547436947781275,1.940059363571667,0.12647240883348743,2.2944080619962577,2.251184423829725,2.3417281578795595,2.3188346518480896,2.3821312120863922,2.2258833771336977,2.282886619697309,2.4715008681272543,2.1873767884212745,2.431590237378609,1.5094861365030805,1.2934130795520695,1.3724173248068847,1.3830547977700358,1.420109176836718,1.2668517188827813,1.273828927526474,1.3775234774594591,1.3213011494154983,1.441347312849818,1.1351315518011766,1.2768323748967096,1.0877674678547318,1.0948540707955967,1.17621496928744,1.2397138613000758,1.104768461765558,1.2722453026330571,0.9689983255029886,1.0375017860548725,1.803242808068158,1.8710084595457297,1.99808150600091,0.23217391863866074,1.0763847863511598,1.9800028897834216e-16,0.0020240558389343945,6.612488556628704e-27,5.387823788639763e-13,3.1305763498352183e-13,5.726223845211139e-07,1.0004468625410894e-16,0.05347375825921867,4.740365109613249e-08,2.908954307736058e-10,0.1334642128222304
791,4.237984938217935,0.3672801269541763,4.168312010836193,4.174134008836296,4.295366849550239,4.131103848527211,4.0734458590908575,4.135294798659402,4.53290842575585,4.033178459675645,4.403529994003568,4.7387204532095435,2.248893977507367,1.3707380730961307,1.1498493156661358,2.074956951837448,0.12177036388913437,2.2146448693372904,2.2868191471063035,2.2937489992147597,2.1025243012340127,2.2704383600468434,2.4409683196307452,2.3735802201881144,2.193192408098872,2.1635269587301664,2.2803744509458808,1.3658666657811933,1.201089165800793,1.3700846642291056,1.3716900348474572,1.5170817129822238,1.3085947445326844,1.2731724060475023,1.3238002734664358,1.3870918691570584,1.4850853249053686,1.2211950149133257,1.2048649283814061,1.261674148733357,1.1619774321362208,1.2484579518918513,1.2812063613239484,1.2384816056182892,1.2226432516730639,1.0668299175831177,1.3118390313596213,1.8722797604718848,2.0915676911515764,2.0481612162220473,0.2274006841955534,1.0597479622129988,1.1245943203669224e-16,0.0015425322893844835,5.6946445104645186e-27,1.521499203568898e-12,1.2878442272593993e-12,3.6274654712800225e-06,5.1636863504651437e-17,0.0659547199822394,2.4473364932938565e-07,1.6303037217011376e-10,0.1108720247476849
